CustomerID,Gender,Age,Annual_Income,Spending_Score,Gender_Encoded,Cluster_Raw,Cluster,Cluster_Name
1,Male,19,15,39,0,4,1,Standard Segment (Moderate Income & Spend)
2,Male,21,15,81,0,2,0,"Careful Spenders (Low Income, Low Spend)"
3,Female,20,16,6,1,4,1,Standard Segment (Moderate Income & Spend)
4,Female,23,16,77,1,2,0,"Careful Spenders (Low Income, Low Spend)"
5,Female,31,17,40,1,4,1,Standard Segment (Moderate Income & Spend)
6,Female,22,17,76,1,2,0,"Careful Spenders (Low Income, Low Spend)"
7,Female,35,18,6,1,4,1,Standard Segment (Moderate Income & Spend)
8,Female,23,18,94,1,2,0,"Careful Spenders (Low Income, Low Spend)"
9,Male,64,19,3,0,4,1,Standard Segment (Moderate Income & Spend)
10,Female,30,19,72,1,2,0,"Careful Spenders (Low Income, Low Spend)"
11,Male,67,19,14,0,4,1,Standard Segment (Moderate Income & Spend)
12,Female,35,19,99,1,2,0,"Careful Spenders (Low Income, Low Spend)"
13,Female,58,20,15,1,4,1,Standard Segment (Moderate Income & Spend)
14,Female,24,20,77,1,2,0,"Careful Spenders (Low Income, Low Spend)"
15,Male,37,20,13,0,4,1,Standard Segment (Moderate Income & Spend)
16,Male,22,20,79,0,2,0,"Careful Spenders (Low Income, Low Spend)"
17,Female,35,21,35,1,4,1,Standard Segment (Moderate Income & Spend)
18,Male,20,21,66,0,2,0,"Careful Spenders (Low Income, Low Spend)"
19,Male,52,23,29,0,4,1,Standard Segment (Moderate Income & Spend)
20,Female,35,23,98,1,2,0,"Careful Spenders (Low Income, Low Spend)"
21,Male,35,24,35,0,4,1,Standard Segment (Moderate Income & Spend)
22,Male,25,24,73,0,2,0,"Careful Spenders (Low Income, Low Spend)"
23,Female,46,25,5,1,4,1,Standard Segment (Moderate Income & Spend)
24,Male,31,25,73,0,2,0,"Careful Spenders (Low Income, Low Spend)"
25,Female,54,28,14,1,4,1,Standard Segment (Moderate Income & Spend)
26,Male,29,28,82,0,2,0,"Careful Spenders (Low Income, Low Spend)"
27,Female,45,28,32,1,4,1,Standard Segment (Moderate Income & Spend)
28,Male,35,28,61,0,2,0,"Careful Spenders (Low Income, Low Spend)"
29,Female,40,29,31,1,4,1,Standard Segment (Moderate Income & Spend)
30,Female,23,29,87,1,2,0,"Careful Spenders (Low Income, Low Spend)"
31,Male,60,30,4,0,4,1,Standard Segment (Moderate Income & Spend)
32,Female,21,30,73,1,2,0,"Careful Spenders (Low Income, Low Spend)"
33,Male,53,33,4,0,4,1,Standard Segment (Moderate Income & Spend)
34,Male,18,33,92,0,2,0,"Careful Spenders (Low Income, Low Spend)"
35,Female,49,33,14,1,4,1,Standard Segment (Moderate Income & Spend)
36,Female,21,33,81,1,2,0,"Careful Spenders (Low Income, Low Spend)"
37,Female,42,34,17,1,4,1,Standard Segment (Moderate Income & Spend)
38,Female,30,34,73,1,2,0,"Careful Spenders (Low Income, Low Spend)"
39,Female,36,37,26,1,4,1,Standard Segment (Moderate Income & Spend)
40,Female,20,37,75,1,2,0,"Careful Spenders (Low Income, Low Spend)"
41,Female,65,38,35,1,4,1,Standard Segment (Moderate Income & Spend)
42,Male,24,38,92,0,2,0,"Careful Spenders (Low Income, Low Spend)"
43,Male,48,39,36,0,4,1,Standard Segment (Moderate Income & Spend)
44,Female,31,39,61,1,0,2,"Impulse Buyers (Low Income, High Spend)"
45,Female,49,39,28,1,4,1,Standard Segment (Moderate Income & Spend)
46,Female,24,39,65,1,2,0,"Careful Spenders (Low Income, Low Spend)"
47,Female,50,40,55,1,0,2,"Impulse Buyers (Low Income, High Spend)"
48,Female,27,40,47,1,0,2,"Impulse Buyers (Low Income, High Spend)"
49,Female,29,40,42,1,0,2,"Impulse Buyers (Low Income, High Spend)"
50,Female,31,40,42,1,0,2,"Impulse Buyers (Low Income, High Spend)"
51,Female,49,42,52,1,0,2,"Impulse Buyers (Low Income, High Spend)"
